sn,german,english
980,e der Vokabeltest,
981,Mathematik/Mathe einhundert,
982,das Abitur das Zeugnis der Direktor die Dauer die Ferien der Schüler,
983,- Schulfächer das Fach,
984,streng Chemie,
985,Geografie Geschichte Informatik Sozialkunde,
986,Schule üben,
987,einhunderteins,
988,Lernwortschatz,
989,andere wichtige Wörter und Wendungen,
990,ausschlafen,
991,er schläft aus,
992,Hausaufgaben machen. - die Grafik (Sehen Sie heute (Mit vielen Freunden,
993,Freunde und ich haben viel,
994,paar (Alle paar Wochen der Kontakt (Meine,
995,die Behinderung ehrlich (Ich musste nie habe ich heute noch,
996,verlieren,
997,er verliert,
998,je (Notieren Sie je zwei HotelkaUfmann,
999,hat ausgeschlafen der Rollstuhl,
1000,e die Erholung die Erinnerung die Weltreise,
1001,erwachsen unabhängig,
1002,die Grafik an.) habe ich frei.) hat verloren,
1003,Ehrlich?) freiwillig Kontakt.) erst mal,
1004,sozial,
1005,Jura eine Vorlesung besuchen schlecht (Ich finde das Das war bei mir auch so. (Hauptsache,
1006,es macht die Gemeinsamkeit Ergänzen Sie Wörter,
1007,Das sehe ich anders,
1008,die Vorlesung die Meinung sagen,
1009,die Hauptsache der Unterschied Wichtig für mich,
1010,die Meinung,
1011,en nicht schlecht.) überrascht sein wahrscheinlich,
1012,Universität,
1013,Medizin ablehnen,
1014,zustimmen überraschen wenigstens,
1015,zum Beispiel,
1016,nützlich furchtbar witzig wütend ziemlich Spaß.),
1017,mi füt de dE,
1018,teilnehmen,
1019,er nimmt teil,
1020,liegen,
1021,er liegt,
1022,hat gelegen (Er liegt am Wochenende reiten,
1023,er reitet,
1024,ist geritten,
1025,empfangen,
1026,er empfängt,
1027,der Platz,
1028,*e (Ein Kellner,
1029,einverstanden sein einen Plan ändern,
1030,anmelden,
1031,hat teilgenommen der Flohmarkt,
1032,e gern auf dem Sofa.) der Aufenthalt führt Sie zum Platz.) die Reservierung,
1033,spätestens weiter,
1034,hat weitergeholfen aus sein (Handys müssen,
1035,der Verein,
1036,absagen zusagen gemeinsam organisieren,
1037,im Restaurant der Eingang,
1038,e hat empfangen,
1039,informieren weiterhelfen,
1040,er hilft,
1041,die Zigarette,
1042,spannend auswählen das WC aus sein.),
1043,bitter salzig sauer scharf,
1044,retied woman. overtine hour,
1045,to be born divorced + marry retired man the trainne,
1046,to finish to end,
1047,wone,
1048,Lernwortschatz,
1049,abschließen,
1050,er schließt ab,
1051,hat abgeschlossen,
1052,die Hochzeit die Rentnerin die Ausbildung,
1053,geboren sein geschieden,
1054,Familie heiraten,
1055,romantisch der Rentner,
1056,Beruf und Uni abgeschlossen.),
1057,die Überstunde der Augenoptiker,
1058,- die Bankkauffrau,
1059,Mathematik (Sg. ohne vorschlagen,
1060,er schlägt,
1061,das Stadtzentrum,
1062,auf dem Land leben,
1063,hat vorgeschlagen achtundachtzig,
1064,zusammenleben,
1065,beenden viel Arbeit.) die Note Artikel) wohnen renovieren Stadtzentren,
1066,weitersuchen,
1067,mieten Freizeit,
1068,das Apartment,
1069,wohnen,
1070,Lernwortschatz,
1071,Restaurant,
1072,Italienerin,
1073,mein Vater ist Österreicher. Ich habe also rufen,
1074,er ruft,
1075,hat gerufen,
1076,weil (Marvin kommt später,
1077,also eine Sprache fließend ganz weil er arbeiten muss.),
1078,fließend sprechen,
1079,begründen Mal sehen. die Kollegen,
1080,Beruf,
1081,andere wichtige Wörter und Wendungen,
1082,Ergänzen Sie je drei passende Wörter,
1083,mit allen Sinnen lernen die Angst,
1084,™e (Er hat Ergänzen Sie die Sätze,
1085,der Gegenstand,
1086,e Familie,
1087,Wichtig für mich,
1088,der Sinn das Handy,
1089,fühlen zulhören Angst.) Grippe.) der Bruder,
1090,fast,
