sn,german,english
715,sich unt,
716,die Führerschein- Ich freue mich riesig. unterhä,
717,"prüfung, -en So ein Glück! (Auf der",
718,"bestehen, er besteht,",
719,hat bestanden sich ärgern (Ich ärgere,
720,mich mi,
721,mich über meinen Bruder.) an|biete,
722,"der Club, -s hat ange sich streiten, er streitet,",
723,"das Brautpaar, -e hat gestritten sich aus",
724,"der Ring, -e aus spre das Bedauern (Sg.) aus, hat",
725,"Platz, e (Erster Platz!",
726,Ich habe gewonnen.) Das tut mir (wirklich) leid. bewunde,
727,"der Sieg, -e Schade! sich ents",
728,"beruhigen er entsch die Medaille, -n",
729,entschie,
730,"das Feuerwerk, -e Das macht (doch) nichts. unterrich",
731,dabei sein Es geht schon wieder. weglfahr,
732,Es ist alles okay. ist weggr,
733,Glückwünsche ausdrücken hoffen,
734,sich langweilen Wichtig f,
735,"die Glückwunschkarte, -n",
736,"die Karte, -n aufregend",
737,gratulieren (Wir gratulieren aufgeregt sein,
738,euch herzlich zur Hochzeit.) ärgerlich,
739,"wie (Wie schön, ihr genervt",
740,heiratet!) gestresst Notieren,
741,Alles Gute! nervös,
742,sich bedanken (Wir,
743,möchten uns für die sauer (Er kommt schon,
744,Geschenke bedanken.) wieder zu spät. Ich bin richtig sauer!),
745,tausend Dank schlimm,
746,"die Absage, -n stolz",
747,"stehen, er steht, traurig Reagieren",
748,hat gestanden (Was steht,
749,auf der Karte?) unangenehm Sie bekom,
750,unglücklich,
751,Gefühle Sie haben (,
752,"das Gefühl, -e andere wichtige Wörter und Wendungen",
753,"die Emotion, -en sich erinnern (Erinnerst du Ein Wasser",
754,Angst haben dich an Tims Party?),
755,sich gewöhnen (Ich bin,
756,128 einhundertachtundzwanzig an die andere Währung,
757,gewöhnt.),
758,Lernwortscha,
759,sich austauschen (Wir außerdem,
760,tauschen uns über unsere inzwischen,
761,Erfahrungen aus.),
762,"das Frühjahr, -e",
763,"fallen, er fällt, ist gefallen",
764,(Das Glas ist auf den die Zukunft (Sg.),
765,"Teppich gefallen.) das Gegenteil, -e",
766,"sich unterhalten, er das Wohnheim, -e",
767,"unterhält, hat unterhalten der Verkehr (Sg.)",
768,(Auf der Party habe ich verspätet,
769,mich mit Tim unterhalten.),
770,"die Währung, -en",
771,"an|bieten, er bietet an,",
772,hat angeboten kostenlos,
773,sich aus ruhen niemand,
774,"aus/sprechen, er spricht nirgends",
775,"aus, hat ausgesprochen fremd",
776,bewundern hilfsbereit,
777,"sich entscheiden, ordentlich",
778,"er entscheidet, hat wahr",
779,entschieden weltweit,
780,"unterrichten wenn ..., dann ... (Wenn",
781,"wegfahren, er fährt weg, meine Freundin wegfährt,",
782,ist weggefahren dann bin ich traurig.),
783,Wichtig für mich:,
784,Notieren Sie positive und negative Gefühle.,
785,Reagieren Sie.,
786,Sie bekommen eine Einladung zu einer Hochzeit.,
787,als (Das Tablet ist leichter,
788,Dinge vergleichen wie (Der Laptop ist,
789,nicht so leicht wie das genauso (Der Laptop ist,
790,genauso praktisch wie das,
791,über Arbeit sprechen,
792,"der Vergleich, -e ein Start-Up gründen",
793,"der/die Studierende, -n entwickeln (eine App",
794,"privat (Das ist privat.) dass (Ich finde, dass das als der Laptop.)",
795,"das Start-Up, -s programmieren Meinung äußern die Umfrage, -n kommentieren",
796,"Kino und Filme der Actionfilm, -e",
797,"der Fantasy-Film, -e",
798,"die Komödie, -n der Liebesfilm, e",
799,die Filmmusik (Sg.),
800,leicht Tablet.) Tablet.) gründen,
801,entwickeln),
802,"meinen mit|teilen kritisch peinlich der Thriller, - gut ist.)",
803,blöd,
804,Lernwortschatz,
805,"Aktivitäten mit Medien an sein (Mein Handy ist checken (Mails checken) hoch|laden, er lädt hoch,",
806,"Medien und Geräte der E-Book-Reader, - das Smartphone, -s die Spielekonsole, -n der Bildschirm, -e der Lautsprecher, -",
807,"das E-Book, -s der Laptop, -s das Radio, -s das Tablet, -s die Tastatur, -en die Webseite, -n",
808,"in Kontakt bleiben einhundertzwölf herunter|laden, er",
809,"die Maus, e der Kontakt, -e",
810,"lädt herunter, hat heruntergeladen hat hochgeladen der Blogbeitrag, *e",
811,"das Kabel, - der Link, -s immer an.) an|klicken downloaden weiter|leiten",
812,tippen kopieren löschen Fotos teilen mailen senden bloggen chatten posten,
813,teilen 112,
814,be f_,
815,Lernwortschatz 5. der_a__ts__-Fi_,
816,6. der L_,
817,"nah, näher, am nächsten",
818,"die Freundschaft, -en die Sorge, -n (Sorgen",
819,"die Enkelin, -nen die Kindheit (Sg.) sterben, er stirbt, ist",
820,überhaupt (Das hat mir überhaupt nicht gefallen.),
821,"das Schicksal, e manche, mancher",
822,fröhlich schwierig vorsichtig,
823,"der Enkel, -",
824,still haben),
825,"gestorben das Tier, -e mehrmals",
826,plötzlich unbedingt,
827,tot zuletzt,
828,3. der Ac_ infl,
829,4. der K_i_,
830,Was kann man damit machen? Notieren Sie möglichst viele Verben.,
831,Welche Filme gibt es? Ergänzen Sie die Buchstaben.,
832,andere wichtige Wörter und Wendungen,
833,"Worum geht es im Film? spielen (Der Film spielt in gewinnen, er gewinnt, hat",
834,"die Hauptperson, -en einfach (Der Film war",
835,"die Handlung, en dumm, dümmer, am der Humor (Sg.) Wichtig für mich:",
836,"der Trailer, - das Talent, e der Witz, -e einfach toll.) aus|probieren",
837,1. die K m_di das Smartphone,
838,gewonnen dümmsten,
839,Berlin.) logisch lachen weinen flüstern 2. der Th die Mail: die App: das Foto:,
840,real,
841,"der Hotelkaufmann, er die Krankenschwester, -n der/die Auszubildende, -n die Berufserfahrung (Sg.) die Arztpraxis, Arztpraxen",
842,"die Grundschule, -n die Hauptschule, -n die Gesamtschule, -n die Realschule, -n die Berufsschule, -n das Schulsystem, -e das Bundesland, -er die Arzthelferin, -nen das Gymnasium, der Altenpfleger, - der Englischlehrer, -",
843,"die Hotelkauffrau, -en der Krankenpfleger, -",
844,"die Gärtnerin, -nen die Arbeitswelt (Sg.)",
845,das Berufsleben (Sg.),
846,"Arbeit und Beruf die Erfahrung, -en",
847,"das Handwerk (Sg.) die Werbeagentur, -en",
848,"das Reisebüro, -s",
849,"Wirtschaft die AG, -S Schultypen Gymnasien",
850,"das Au-pair, -s der Grafiker, - der Azubi, -s die Lehre, -n die Messe, -n",
851,Berufe jobben,
852,Lernwortschatz •,
853,"die Klasse, -n (Die Lehrerin",
854,"der Schulabschluss, ""e",
855,"der Abschluss, ""e die Direktorin, -nen die Schülerin, -nen",
856,"steht vor der Klasse.) das Klassenzimmer, -",
857,"die Unterrichtszeit, -en die Cafeteria, Cafeterien",
858,Lieblings- (Mein Lieblings-,
859,"der Stundenplan, e die Fremdsprache, -n die Klassenfahrt, -en die Schuluniform, -en die Vorbereitung, -en",
860,Kunsterziehung/Kunst,
861,"der Schulweg, e der Vokabeltest, -s",
862,Mathematik/Mathe einhundert,
863,"das Abitur (Sg.) das Zeugnis, -se der Direktor, -en die Dauer (Sg.) die Ferien (PI.) der Schüler, - Schulfächer das Fach, er fach war...)",
864,streng Chemie,
865,Geografie Geschichte Informatik Sozialkunde,
866,Schule üben,
867,Latein Physik 100,
868,einhunderteins,
869,Lernwortschatz,
870,andere wichtige Wörter und Wendungen,
871,"aus|schlafen, er schläft aus, Hausaufgaben machen. - die Grafik, -en (Sehen Sie heute (Mit vielen Freunden",
872,Freunde und ich haben viel,
873,"paar (Alle paar Wochen der Kontakt, -e (Meine",
874,"die Behinderung, -en ehrlich (Ich musste nie habe ich heute noch",
875,"verlieren, er verliert, je (Notieren Sie je zwei HotelkaUfmann",
876,"hat ausgeschlafen der Rollstuhl, e die Erholung (Sg.) die Erinnerung, -en die Weltreise, -n",
877,erwachsen unabhängig,
878,die Grafik an.) habe ich frei.) hat verloren,
879,Ehrlich?) freiwillig Kontakt.) erst mal,
880,Kontakt.) Wörter.),
881,sozial,
882,"Jura (Sie hat Jura studiert.) eine Vorlesung besuchen schlecht (Ich finde das Das war bei mir auch so. (Hauptsache, es macht die Gemeinsamkeit, -en Ergänzen Sie Wörter.",
883,Das sehe ich anders.,
884,"die Vorlesung, -en die Meinung sagen",
885,"die Hauptsache, -n der Unterschied, -e Wichtig für mich:",
886,"die Meinung, en nicht schlecht.) überrascht sein wahrscheinlich",
887,Universität,
888,Medizin ab|lehnen,
889,zu|stimmen überraschen wenigstens,
890,zum Beispiel,
891,nützlich furchtbar witzig wütend ziemlich Spaß.),
892,mi füt de dE,
893,"teilnehmen, er nimmt teil, liegen, er liegt, hat gelegen (Er liegt am Wochenende reiten, er reitet, ist geritten",
894,"empfangen, er empfängt, der Platz, *e (Ein Kellner",
895,einverstanden sein einen Plan ändern,
896,(Kommst du? - Einverstanden.) (sich) an|melden,
897,"hat teilgenommen der Flohmarkt, e gern auf dem Sofa.) der Aufenthalt, -e führt Sie zum Platz.) die Reservierung, -en",
898,"spätestens (Ich komme spätestens um drei Uhr.) weiter, hat weitergeholfen aus sein (Handys müssen",
899,"der Verein, -e",
900,ab|sagen zu|sagen gemeinsam organisieren,
901,"im Restaurant der Eingang, e hat empfangen",
902,"(sich) informieren weiter|helfen, er hilft",
903,"die Zigarette, -n",
904,"spannend (über + A.) aus|wählen das WC, -s aus sein.)",
905,bitter salzig sauer scharf,
906,retied woman. overtine hour,
907,to be born divorced + marry retired man the trainne,
908,to finish to end,
909,wone,
910,Lernwortschatz,
911,"ab|schließen, er schließt ab, hat abgeschlossen (Sie hat ihre Ausbildung die Arbeit (Sg.) (Das war die Augenoptikerin, -nen der Bankkaufmann, er Biologie (Sg. ohne Artikel)",
912,"die Hochzeit, -en die Rentnerin, -nen die Ausbildung, -en",
913,geboren sein geschieden,
914,Familie heiraten,
915,"romantisch der Rentner, -",
916,Beruf und Uni abgeschlossen.),
917,"die Überstunde, -n der Augenoptiker, - die Bankkauffrau, -en",
918,"(Ich studiere Biologie.) Mathematik (Sg. ohne vorschlagen, er schlägt",
919,"das Stadtzentrum, auf dem Land leben",
920,"vor, hat vorgeschlagen achtundachtzig",
921,zusammen|leben,
922,"beenden viel Arbeit.) die Note, -n Artikel) wohnen renovieren Stadtzentren",
923,weiter|suchen,
924,mieten Freizeit,
925,88,
926,das Apartment,
927,wohnen,
928,Lernwortschatz,
929,Restaurant,
930,"Italienerin, mein Vater ist Österreicher. Ich habe also rufen, er ruft, hat gerufen",
931,"weil (Marvin kommt später,",
932,also (Meine Mutter ist zwei Muttersprachen.) eine Sprache fließend ganz (ganz am Ende) weil er arbeiten muss.),
933,fließend sprechen,
934,begründen Mal sehen. die Kollegen,
935,Beruf,
936,1. Früher habe ich im ta t entru gewohnt. 2. Jetzt |_be ich mit meinem Freund z s men. 3. Wir haben ein H__us auf dem L___d ge_ie et.,
937,4. Es ist sehr alt und wir haben es lange _e__iert. Freizeit,
938,andere wichtige Wörter und Wendungen,
939,Ergänzen Sie je drei passende Wörter.,
940,"mit allen Sinnen lernen die Angst, ™e (Ich habe die Grippe (Sg.) (Er hat Ergänzen Sie die Sätze.",
941,"der Gegenstand, e Familie",
942,Wichtig für mich:,
943,"der Sinn, -e das Handy, -s",
944,fühlen zulhören Angst.) Grippe.) der Bruder,
945,fast,
