sn,german,english,example_de,info
313,der kurze Text,short text,Das ist der kurze Text.,Nomen (m); Plural: kurze Texte.
314,vergehen,to pass (time),Ich will vergehen.,Verb: vergehen.
315,interessieren,to interest,Ich will interessieren.,Verb: interessieren.
316,die Ehe,marriage,Das ist die Ehe.,Nomen (f); Plural: Ehen.
317,die Hausfrau,housewife,Das ist die Hausfrau.,Nomen (f); Plural: Hausfrauen.
318,der Hausmann,househusband,Das ist der Hausmann.,Nomen (m); Plural: Hausmänner.
319,backen,to bake,Ich will backen.,Verb: backen.
320,der Kuchen,cake,Das ist der Kuchen.,Nomen (m); Plural: Kuchen.
321,das Zimmer,room,Das ist das Zimmer.,Nomen (n); Plural: Zimmer.
322,die Hand,hand,Das ist die Hand.,Nomen (f); Plural: Hande.
323,verreisen,to travel (go away),Ich will verreisen.,Verb: verreisen.
324,der letzte Ausflug,the last trip,Das ist der letzte Ausflug.,Nomen (m); Plural: letzte Ausfluge.
325,entlassen,to dismiss / to fire,Ich will entlassen.,Verb: entlassen.
326,das Feuer,fire,Das ist das Feuer.,Nomen (n); Plural: Feuer.
327,behalten,to keep,Ich will behalten.,Verb: behalten.
328,das Gas,gas,Das ist das Gas.,Nomen (n); meist ohne Plural.
329,die Heizung,heating,Das ist die Heizung.,Nomen (f); Plural: Heizungen.
330,heizen,to heat,Ich will heizen.,Verb: heizen.
331,der Werktag,weekday (workday),Das ist der Werktag.,Nomen (m); Plural: Werktage.
332,der Export,export,Das ist der Export.,Nomen (m); Plural: Exporte.
333,der Strom,electricity,Das ist der Strom.,Nomen (m); meist ohne Plural.
334,der Import,import,Das ist der Import.,Nomen (m); Plural: Importe.
335,die Hektik,hectic rush / stress,Das ist die Hektik.,Nomen (f); meist ohne Plural.
336,die Frist,deadline,Das ist die Frist.,Nomen (f); Plural: Fristen.
337,der Helfer,helper,Das ist der Helfer.,Nomen (m); Plural: Helfer.
338,die Helferin,(female) helper,Das ist die Helferin.,Nomen (f); Plural: Helferinnen.
339,der Notfall,emergency,Das ist der Notfall.,Nomen (m); Plural: Notfälle.
340,das Handy,mobile phone,Das ist das Handy.,Nomen (n); Plural: Handys.
341,die Polizei,police,Das ist die Polizei.,Nomen (f); meist ohne Plural.
342,die Unterkunft,accommodation,Das ist die Unterkunft.,Nomen (f); Plural: Unterkünfte.
343,das Einkaufszentrum,shopping mall / shopping center,Das ist das Einkaufszentrum.,Nomen (n); Plural: Einkaufszentren.
344,verbringen,to spend (time),Ich will verbringen.,Verb: verbringen.
345,träumen,to dream,Ich will träumen.,Verb: träumen.
346,die Lücke,gap,Das ist die Lücke.,Nomen (f); Plural: Lücken.
347,verzichten,to do without / to give up,Ich will verzichten.,Verb: verzichten.
348,das Mitleid,pity,Das ist das Mitleid.,Nomen (n); meist ohne Plural.
349,die Kriminalität,Kriminaliity,Das ist die Kriminalität.,Nomen (f); Plural: Kriminalitäten.
350,die Operation,Operation,Das ist die Operation.,Nomen (f); Plural: Operationen.
351,das Formular,formular,Das ist das Formular.,Nomen (n); Plural: Formulare.
352,die Disco,disco,Das ist die Disco.,Nomen (f); Plural: Discoe.
353,das Konto,konto,Das ist das Konto.,Nomen (n); Plural: Kontoe.
354,das Beste,the best,Das ist das Beste.,Nomen (n); Plural: Besten.
355,modern,modern,Heute ist es modern.,Wort/Redemittel.
356,funktionieren,to work / to function,Ich will funktionieren.,Verb: funktionieren.
357,der Job,job,Das ist der Job.,Nomen (m); Plural: Jobe.
358,die Emotion,Emotion,Das ist die Emotion.,Nomen (f); Plural: Emotionen.
359,Kondition,Kondition,Kondition,Wort/Redemittel.
360,Poster,poster,Poster,Wort/Redemittel.
361,hereinkommen,to come in,Ich will hereinkommen.,Verb (trennbar): hereinkommen.
362,brechen,to break,Ich will brechen.,Verb: brechen.
363,jährlich,yearly / annually,Heute ist es jährlich.,Wort/Redemittel.
364,rockig,rocky / rock-style,Heute ist es rockig.,Wort/Redemittel.
365,verschlafen,sleepy / overslept,Ich will verschlafen.,Verb: verschlafen.
366,Kriminalität,Kriminaliity,Kriminalität,Wort/Redemittel.
367,schlecht gelaunt sein,to be in a bad mood,Heute bin ich schlecht gelaunt.,Redemittel; 'gelaunt' = in einer Stimmung.
368,unendlich,endless / infinite,Heute ist es unendlich.,Wort/Redemittel.
369,hübsch,pretty,Heute ist es hübsch.,Wort/Redemittel.
370,abschließend,finally / in conclusion,Heute ist es abschließend.,Wort/Redemittel.
371,abstrakt,abstract,Heute ist es abstrakt.,Wort/Redemittel.
372,erhalten,to receive,Ich will erhalten.,Verb: erhalten.
373,unter anderem,among other things,Unter anderem kaufe ich Brot.,Feste Wendung = 'zum Beispiel auch'.
374,abmalen,to trace / copy (a drawing),Ich will abmalen.,Verb (trennbar): abmalen.
375,erleben,to experience,Ich will erleben.,Verb: erleben.
376,beraten,to advise,Ich will beraten.,Verb: beraten.
377,zurückkommen,to come back,Ich will zurückkommen.,Verb (trennbar): zurückkommen.
378,der Chirurg,surgeon,Das ist der Chirurg.,Nomen (m); Plural: Chirurge.
379,preiswert,good value / inexpensive,Heute ist es preiswert.,Wort/Redemittel.
380,sich konzentrieren,to concentrate,Ich will sich konzentrieren.,Verb: sich konzentrieren.
381,helfen,to help,Ich will helfen.,Verb: helfen.
382,lächeln,to smile,Heute ist es lächeln.,Wort/Redemittel.
383,mobil,mobile / flexible,Heute ist es mobil.,Wort/Redemittel.
384,hinterlassen,to leave behind,Ich will hinterlassen.,Verb (trennbar): hinterlassen.
385,lebenslang,lifelong,Heute ist es lebenslang.,Wort/Redemittel.
386,zurückrufen,to call back,Ich will zurückrufen.,Verb (trennbar): zurückrufen.
387,also gut,alright then / okay,"Also gut, wir machen das.",Umgangssprachlich; oft am Satzanfang.
388,komisch,strange / funny,Heute ist es komisch.,Wort/Redemittel.
389,unnötig,unnecessary,Heute ist es unnötig.,Wort/Redemittel.
390,virtuell,virtual,Heute ist es virtuell.,Wort/Redemittel.
391,einige,some / several,Heute ist es einige.,Wort/Redemittel.
392,zunehmen,to gain weight / to increase,Ich will zunehmen.,Verb (trennbar): zunehmen.
393,öffentlich,public,Heute ist es öffentlich.,Wort/Redemittel.
394,transportieren,to transport,Ich will transportieren.,Verb: transportieren.
395,die Beamtin,(female) civil servant,Das ist die Beamtin.,Nomen (f); Plural: Beamtine.
396,Operation,Operation,Operation,Wort/Redemittel.
397,Formular,formular,Formular,Wort/Redemittel.
398,sich bewerben,to apply (for a job),Ich will sich bewerben.,Verb: sich bewerben.
399,Disco,disco,Disco,Wort/Redemittel.
400,Konto,konto,Konto,Wort/Redemittel.
401,sperren,to block / to lock,Ich will sperren.,Verb: sperren.
402,leihen,to lend / to borrow,Ich will leihen.,Verb: leihen.
403,Job,job,Job,Wort/Redemittel.
404,bestehen,to pass (an exam),Ich will bestehen.,Verb: bestehen.
405,stehen,to stand,Ich will stehen.,Verb: stehen.
406,unglücklich,unhappy,Heute ist es unglücklich.,Wort/Redemittel.
407,Emotion,Emotion,Emotion,Wort/Redemittel.
408,tauschen,to exchange,Ich will tauschen.,Verb: tauschen.
409,fallen,to fall,Ich will fallen.,Verb: fallen.
410,sich unterhalten,to chat / talk,Ich will sich unterhalten.,Verb: sich unterhalten.
411,anbieten,to offer,Ich will anbieten.,Verb (trennbar): anbieten.
412,sprechen,to speak,Ich will sprechen.,Verb: sprechen.
413,bewundern,to admire,Heute ist es bewundern.,Wort/Redemittel.
414,hilfsbereit,helpful,Heute ist es hilfsbereit.,Wort/Redemittel.
415,sich entscheiden,to decide,Ich will sich entscheiden.,Verb: sich entscheiden.
416,ordentlich,tidy / proper,Heute ist es ordentlich.,Wort/Redemittel.
417,weltweit,worldwide,Heute ist es weltweit.,Wort/Redemittel.
418,unterrichten,to teach,Ich will unterrichten.,Verb: unterrichten.
419,wegfahren,to drive off / leave,Ich will wegfahren.,Verb (trennbar): wegfahren.
420,privat,private,Heute ist es privat.,Wort/Redemittel.
421,blöd,stupid / silly,Heute ist es blöd.,Wort/Redemittel.
422,nah,near,Heute ist es nah.,Wort/Redemittel.
423,näher,nearer / closer,Heute ist es näher.,Wort/Redemittel.
424,überhaupt,at all / anyway,Heute ist es überhaupt.,Wort/Redemittel.
425,mancher,some / many a,Heute ist es mancher.,Wort/Redemittel.
426,fröhlich,cheerful,Heute ist es fröhlich.,Wort/Redemittel.
427,schwierig,difficult,Heute ist es schwierig.,Wort/Redemittel.
428,vorsichtig,careful,Heute ist es vorsichtig.,Wort/Redemittel.
429,plötzlich,suddenly,Heute ist es plötzlich.,Wort/Redemittel.
430,unbedingt,definitely,Heute ist es unbedingt.,Wort/Redemittel.
431,tot,dead,Heute ist es tot.,Wort/Redemittel.
432,zuletzt,finally / last,Heute ist es zuletzt.,Wort/Redemittel.
433,dumm,dumb,Heute ist es dumm.,Wort/Redemittel.
434,dümmer,dumber,Heute ist es dümmer.,Wort/Redemittel.
435,verlieren,to lose,Ich will verlieren.,Verb: verlieren.
436,Kombination,Kombination,Kombination,Wort/Redemittel.
437,Präsentation,Präsentation,Präsentation,Wort/Redemittel.
438,das Berufsleben,working life,Das ist das Berufsleben.,Nomen (n); Plural: Berufslebene.
439,die Unterhaltung,entertainment / conversation,Das ist die Unterhaltung.,Nomen (f); Plural: Unterhaltungen.
440,der Warenkorb,shopping cart,Das ist der Warenkorb.,Nomen (m); Plural: Warenkorbe.
441,der König,king,Das ist der König.,Nomen (m); Plural: Könige.
442,die Vorwahl,area code (phone),Das ist die Vorwahl.,Nomen (f); Plural: Vorwahle.
443,der Roman,novel,Das ist der Roman.,Nomen (m); Plural: Romane.
444,die Zahlungsart,payment method,Das ist die Zahlungsart.,Nomen (f); Plural: Zahlungsarte.
445,der Hit,hit (song),Das ist der Hit.,Nomen (m); Plural: Hite.
446,die Hörerin,(female) listener,Das ist die Hörerin.,Nomen (f); Plural: Hörerine.
447,die Stimmung,mood / atmosphere,Das ist die Stimmung.,Nomen (f); Plural: Stimmungen.
448,die Sammlerin,(female) collector,Das ist die Sammlerin.,Nomen (f); Plural: Sammlerine.
449,die Hinfahrt,trip there,Das ist die Hinfahrt.,Nomen (f); Plural: Hinfahrte.
450,das Plastik,plastic,Das ist das Plastik.,Nomen (n); Plural: Plastike.
451,die Klasse,class,Das ist die Klasse.,Nomen (f); Plural: Klassen.
452,die Übersetzerin,translator,Das ist die Übersetzerin.,Nomen (f); Plural: Übersetzerine.
453,die Ermäßigung,discount,Das ist die Ermäßigung.,Nomen (f); Plural: Ermäßigungen.
454,die Freiheit,freedom,Das ist die Freiheit.,Nomen (f); Plural: Freiheiten.
455,die Sängerin,singer,Das ist die Sängerin.,Nomen (f); Plural: Sängerine.
456,der Anrufer,caller,Das ist der Anrufer.,Nomen (m); Plural: Anrufer.
457,der Austausch,exchange,Das ist der Austausch.,Nomen (m); Plural: Austausche.
458,der Feiertag,public holiday,Das ist der Feiertag.,Nomen (m); Plural: Feiertage.
459,die Fahrerin,(female) driver,Das ist die Fahrerin.,Nomen (f); Plural: Fahrerine.
460,die Zutat,ingredient,Das ist die Zutat.,Nomen (f); Plural: Zutate.
461,die Feuerwehr,fire department,Das ist die Feuerwehr.,Nomen (f); Plural: Feuerwehre.
462,die Sicherheit,safety / security,Das ist die Sicherheit.,Nomen (f); Plural: Sicherheiten.
463,der Beamte,civil servant,Das ist der Beamte.,Nomen (m); Plural: Beamten.
464,die Müllabfuhr,garbage collection,Das ist die Müllabfuhr.,Nomen (f); Plural: Müllabfuhre.
465,die Einbürgerung,naturalization,Das ist die Einbürgerung.,Nomen (f); Plural: Einbürgerungen.
466,die Mülltonne,trash can,Das ist die Mülltonne.,Nomen (f); Plural: Mülltonnen.
467,das Dokument,document,Das ist das Dokument.,Nomen (n); Plural: Dokumente.
468,die Bezahlung,payment / pay,Das ist die Bezahlung.,Nomen (f); Plural: Bezahlungen.
469,die Angestellte,employee,Das ist die Angestellte.,Nomen (f); Plural: Angestellten.
470,der Kredit,loan / credit,Das ist der Kredit.,Nomen (m); Plural: Kredite.
471,der Gefallen,favor,Das ist der Gefallen.,Nomen (m); Plural: Gefallene.
472,der Führerschein,driver's license,Das ist der Führerschein.,Nomen (m); Plural: Führerscheine.
473,Das ist ja toll,That's great!,Das ist ja toll!,Ausruf; 'ja' = Betonung/Überraschung.
474,der Vergleich,comparison,Das ist der Vergleich.,Nomen (m); Plural: Vergleiche.
475,die Komödie,comedy,Das ist die Komödie.,Nomen (f); Plural: Komödien.
476,der Liebesfilm,romance film,Das ist der Liebesfilm.,Nomen (m); Plural: Liebesfilme.
477,die Enkelin,granddaughter,Das ist die Enkelin.,Nomen (f); Plural: Enkeline.
478,die Hochzeit,wedding,Das ist die Hochzeit.,Nomen (f); Plural: Hochzeite.
479,der Baum,tree,Das ist der Baum.,Nomen (m); Plural: Bäume.
480,das Sprichwort,proverb,Das ist das Sprichwort.,Nomen (n); Plural: Sprichworte.
481,die Erklärung,explanation,Das ist die Erklärung.,Nomen (f); Plural: Erklärungen.
482,der Alkohol,alcohol,Das ist der Alkohol.,Nomen (m); Plural: Alkohole.
483,das Gold,gold,Das ist das Gold.,Nomen (n); Plural: Golde.
484,der Rat,advice,Das ist der Rat.,Nomen (m); Plural: Rate.
485,die Lebensphase,phase of life,Das ist die Lebensphase.,Nomen (f); Plural: Lebensphasen.
486,die Schulzeit,time at school,Das ist die Schulzeit.,Nomen (f); Plural: Schulzeite.
487,die Reihe,row / series,Das ist die Reihe.,Nomen (f); Plural: Reihen.
488,die Mehrwertsteuer,VAT (value-added tax),Das ist die Mehrwertsteuer.,Nomen (f); Plural: Mehrwertsteuer.
489,die Gesellschaft,society / company,Das ist die Gesellschaft.,Nomen (f); Plural: Gesellschaften.
490,das Werk,work (piece) / plant,Das ist das Werk.,Nomen (n); Plural: Werke.
491,das Schloss,castle / lock,Das ist das Schloss.,Nomen (n); Plural: Schlosse.
492,die Königin,queen,Das ist die Königin.,Nomen (f); Plural: Königine.
493,die Führung,guided tour,Das ist die Führung.,Nomen (f); Plural: Führungen.
494,die Versandkosten,shipping costs,Das ist die Versandkosten.,Nomen (f); Plural: Versandkostene.
495,die Gebühr,fee,Das ist die Gebühr.,Nomen (f); Plural: Gebühre.
496,der Bestseller,bestseller,Das ist der Bestseller.,Nomen (m); Plural: Bestseller.
497,die Überweisung,bank transfer,Das ist die Überweisung.,Nomen (f); Plural: Überweisungen.
498,die Verfilmung,film adaptation,Das ist die Verfilmung.,Nomen (f); Plural: Verfilmungen.
499,die Meldung,report / message,Das ist die Meldung.,Nomen (f); Plural: Meldungen.
500,die Prominente,celebrity,Das ist die Prominente.,Nomen (f); Plural: Prominenten.
501,der Nachrichtensprecher,news anchor,Das ist der Nachrichtensprecher.,Nomen (m); Plural: Nachrichtensprecher.
502,die Nachrichtensprecherin,(female) news anchor,Das ist die Nachrichtensprecherin.,Nomen (f); Plural: Nachrichtensprecherine.
503,das Festival,festival,Das ist das Festival.,Nomen (n); Plural: Festivale.
504,der Hörer,listener,Das ist der Hörer.,Nomen (m); Plural: Hörer.
505,der Musikstil,music genre,Das ist der Musikstil.,Nomen (m); Plural: Musikstile.
506,der Einsatz,effort / use,Das ist der Einsatz.,Nomen (m); Plural: Einsatze.
507,die Stimme,voice / vote,Das ist die Stimme.,Nomen (f); Plural: Stimmen.
508,die Stille,silence,Das ist die Stille.,Nomen (f); Plural: Stillen.
509,der Sammler,collector,Das ist der Sammler.,Nomen (m); Plural: Sammler.
510,der Campingplatz,campsite,Das ist der Campingplatz.,Nomen (m); Plural: Campingplatze.
511,das Schnäppchen,bargain,Das ist das Schnäppchen.,Nomen (n); Plural: Schnäppchen.
512,die Übernachtung,overnight stay,Das ist die Übernachtung.,Nomen (f); Plural: Übernachtungen.
513,die Verpflegung,meals / catering,Das ist die Verpflegung.,Nomen (f); Plural: Verpflegungen.
514,der Wert,value,Das ist der Wert.,Nomen (m); Plural: Werte.
515,der Rucksack,backpack,Das ist der Rucksack.,Nomen (m); Plural: Rucksacke.
516,das Ticket,ticket,Das ist das Ticket.,Nomen (n); Plural: Tickete.
517,der Kauf,purchase,Das ist der Kauf.,Nomen (m); Plural: Kaufe.
518,der Stehplatz,standing place / standing ticket,Das ist der Stehplatz.,Nomen (m); Plural: Stehplatze.
519,der Sitzplatz,seat,Das ist der Sitzplatz.,Nomen (m); Plural: Sitzplatze.
520,das Quiz,quiz,Das ist das Quiz.,Nomen (n); Plural: Quize.
521,die Malerei,painting (art),Das ist die Malerei.,Nomen (f); Plural: Malereie.
522,der Titel,title,Das ist der Titel.,Nomen (m); Plural: Titel.
523,die Gewalt,violence,Das ist die Gewalt.,Nomen (f); Plural: Gewalte.
524,die Bedeutung,meaning / importance,Das ist die Bedeutung.,Nomen (f); Plural: Bedeutungen.
525,der Ausblick,view / outlook,Das ist der Ausblick.,Nomen (m); Plural: Ausblicke.
526,das Meer,sea,Das ist das Meer.,Nomen (n); Plural: Meer.
527,das Blatt,leaf / sheet,Das ist das Blatt.,Nomen (n); Plural: Blatte.
528,der Vordergrund,foreground,Das ist der Vordergrund.,Nomen (m); Plural: Vordergrunde.
529,die Hauptrolle,leading role,Das ist die Hauptrolle.,Nomen (f); Plural: Hauptrollen.
530,der Hintergrund,background,Das ist der Hintergrund.,Nomen (m); Plural: Hintergrunde.
531,der Wanderer,hiker,Das ist der Wanderer.,Nomen (m); Plural: Wanderer.
532,die Wanderin,(female) hiker,Das ist die Wanderin.,Nomen (f); Plural: Wanderine.
533,die Stelle,position / place,Das ist die Stelle.,Nomen (f); Plural: Stellen.
534,die Rückfrage,follow-up question,Das ist die Rückfrage.,Nomen (f); Plural: Rückfragen.
535,der Supermarkt,supermarket,Das ist der Supermarkt.,Nomen (m); Plural: Supermarkte.
536,der Trainer,coach,Das ist der Trainer.,Nomen (m); Plural: Trainer.
537,die Tätigkeit,activity / job,Das ist die Tätigkeit.,Nomen (f); Plural: Tätigkeiten.
538,der Termin,appointment,Das ist der Termin.,Nomen (m); Plural: Termine.
539,der Berufswunsch,desired job / career wish,Das ist der Berufswunsch.,Nomen (m); Plural: Berufswunsche.
540,der Ärger,trouble / annoyance,Das ist der Ärger.,Nomen (m); Plural: Ärger.
541,der Neuanfang,new start,Das ist der Neuanfang.,Nomen (m); Plural: Neuanfange.
542,die Bahn,train / railway,Das ist die Bahn.,Nomen (f); Plural: Bahne.
543,der Fahrplan,timetable,Das ist der Fahrplan.,Nomen (m); Plural: Fahrplane.
544,die Zugverbindung,train connection,Das ist die Zugverbindung.,Nomen (f); Plural: Zugverbindungen.
545,die Durchsage,announcement,Das ist die Durchsage.,Nomen (f); Plural: Durchsagen.
546,die Chance,chance,Das ist die Chance.,Nomen (f); Plural: Chancen.
547,der Wagen,carriage / car (train),Das ist der Wagen.,Nomen (m); Plural: Wagene.
548,die Geschäftsreise,business trip,Das ist die Geschäftsreise.,Nomen (f); Plural: Geschäftsreisen.
549,der Schalter,counter / switch,Das ist der Schalter.,Nomen (m); Plural: Schalter.
550,die Umwelt,environment,Das ist die Umwelt.,Nomen (f); Plural: Umwelte.
551,die Rückfahrt,trip back,Das ist die Rückfahrt.,Nomen (f); Plural: Rückfahrte.
552,das Gehalt,salary,Das ist das Gehalt.,Nomen (n); Plural: Gehalte.
553,das Risiko,risk,Das ist das Risiko.,Nomen (n); Plural: Risikoe.
554,die Oberärztin,senior doctor,Das ist die Oberärztin.,Nomen (f); Plural: Oberärztine.
555,der Leiter,head / manager,Das ist der Leiter.,Nomen (m); Plural: Leiter.
556,der Gang,corridor / aisle,Das ist der Gang.,Nomen (m); Plural: Gange.
557,der Lastwagen,truck,Das ist der Lastwagen.,Nomen (m); Plural: Lastwagene.
558,der Lkw,truck (abbr.),Das ist der Lkw.,Nomen (m); Plural: Lkwe.
559,das Stadtprogramm,city programme,Das ist das Stadtprogramm.,Nomen (n); Plural: Stadtprogramme.
560,die Band,band,Das ist die Band.,Nomen (f); Plural: Bande.
561,der Musiker,musician,Das ist der Musiker.,Nomen (m); Plural: Musiker.
562,das Telefonat,phone call,Das ist das Telefonat.,Nomen (n); Plural: Telefonate.
563,das Album,album,Das ist das Album.,Nomen (n); Plural: Alben.
564,der Anrufbeantworter,answering machine / voicemail,Das ist der Anrufbeantworter.,Nomen (m); Plural: Anrufbeantworter.
565,das Wissen,knowledge,Das ist das Wissen.,Nomen (n); Plural: Wissene.
566,die Kompetenz,skills / competence,Das ist die Kompetenz.,Nomen (f); Plural: Kompetenze.
567,die Hausarbeit,housework,Das ist die Hausarbeit.,Nomen (f); Plural: Hausarbeite.
568,die moderne Arbeitswelt,modern working world,Das ist die moderne Arbeitswelt.,Nomen (f); Plural: moderne Arbeitswelte.
569,der Arbeitstag,workday,Das ist der Arbeitstag.,Nomen (m); Plural: Arbeitstage.
570,der Betrieb,company / operation,Das ist der Betrieb.,Nomen (m); Plural: Betriebe.
571,die Fabrik,factory,Das ist die Fabrik.,Nomen (f); Plural: Fabrike.
572,die Maschine,machine,Das ist die Maschine.,Nomen (f); Plural: Maschinen.
573,der Roboter,robot,Das ist der Roboter.,Nomen (m); Plural: Roboter.
574,die Digitalisierung,digitalization,Das ist die Digitalisierung.,Nomen (f); Plural: Digitalisierungen.
575,das Bier,beer,Das ist das Bier.,Nomen (n); Plural: Bier.
576,der Schritt,step,Das ist der Schritt.,Nomen (m); Plural: Schritte.
577,das Jahrhundert,century,Das ist das Jahrhundert.,Nomen (n); Plural: Jahrhunderte.
578,die Zusammenarbeit,cooperation,Das ist die Zusammenarbeit.,Nomen (f); Plural: Zusammenarbeite.
579,die Aushilfe,temp worker,Das ist die Aushilfe.,Nomen (f); Plural: Aushilfen.
580,das Verkehrsmittel,means of transport,Das ist das Verkehrsmittel.,Nomen (n); Plural: Verkehrsmittel.
581,die Gäste,guests,Das ist die Gäste.,Nomen (f); Plural: Gästen.
582,der Fahrer,driver,Das ist der Fahrer.,Nomen (m); Plural: Fahrer.
583,das Amt,office / agency,Das ist das Amt.,Nomen (n); Plural: Amte.
584,die Behörde,authority / government office,Das ist die Behörde.,Nomen (f); Plural: Behörden.
585,ein paar Dinge,a few things,Ich habe noch ein paar Dinge.,Feste Menge; 'ein paar' = einige.
586,die Straßenreinigung,street cleaning,Das ist die Straßenreinigung.,Nomen (f); Plural: Straßenreinigungen.
587,der Antrag,application,Das ist der Antrag.,Nomen (m); Plural: Antrage.
588,die Ordnung,order,Das ist die Ordnung.,Nomen (f); Plural: Ordnungen.
589,der Müll,trash / garbage,Das ist der Müll.,Nomen (m); Plural: Mülle.
590,die Mülltonnen,trash cans,Das ist die Mülltonnen.,Nomen (f); Plural: Mülltonnene.
591,der Personalausweis,ID card,Das ist der Personalausweis.,Nomen (m); Plural: Personalausweise.
592,die Stellenanzeige,job ad,Das ist die Stellenanzeige.,Nomen (f); Plural: Stellenanzeigen.
593,der Pass,passport,Das ist der Pass.,Nomen (m); Plural: Passe.
594,die Unterlagen,documents / paperwork,Das ist die Unterlagen.,Nomen (f); Plural: Unterlagene.
595,die Kenntnis,knowledge (specific),Das ist die Kenntnis.,Nomen (f); Plural: Kenntnise.
596,die Grenze,border,Das ist die Grenze.,Nomen (f); Plural: Grenzen.
597,die Teilzeit,part-time,Das ist die Teilzeit.,Nomen (f); Plural: Teilzeite.
598,der Lohn,wage,Das ist der Lohn.,Nomen (m); Plural: Lohne.
599,der Bescheid,official decision / notice,Das ist der Bescheid.,Nomen (m); Plural: Bescheide.
600,der Betrag,amount (of money),Das ist der Betrag.,Nomen (m); Plural: Betrage.
601,der Dom,cathedral,Das ist der Dom.,Nomen (m); Plural: Dome.
602,die Bankkarte,bank card,Das ist die Bankkarte.,Nomen (f); Plural: Bankkarten.
603,die Geldbörse,wallet,Das ist die Geldbörse.,Nomen (f); Plural: Geldbörsen.
604,die Nächste,the next one,Das ist die Nächste.,Nomen (f); Plural: Nächsten.
605,der Fan,fan,Das ist der Fan.,Nomen (m); Plural: Fane.
606,der Diebstahl,theft,Das ist der Diebstahl.,Nomen (m); Plural: Diebstahle.
607,der Daumen,thumb,Das ist der Daumen.,Nomen (m); Plural: Daumene.
608,die Daumen,thumbs,Das ist die Daumen.,Nomen (f); Plural: Daumene.
609,die Stadt-Tour,city tour,Das ist die Stadt-Tour.,Nomen (f); Plural: Stadt-Toure.
610,der Gedanke,thought,Das ist der Gedanke.,Nomen (m); Plural: Gedanken.
611,der Stadtplan,city map,Das ist der Stadtplan.,Nomen (m); Plural: Stadtplane.
612,die Ruhe,peace / quiet,Das ist die Ruhe.,Nomen (f); Plural: Ruhen.
613,der Tourist,tourist,Das ist der Tourist.,Nomen (m); Plural: Touriste.
614,die Entspannung,relaxation,Das ist die Entspannung.,Nomen (f); Plural: Entspannungen.
615,die Touristin,(female) tourist,Das ist die Touristin.,Nomen (f); Plural: Touristine.
616,der Politiker,politician,Das ist der Politiker.,Nomen (m); Plural: Politiker.
617,die Politikerin,(female) politician,Das ist die Politikerin.,Nomen (f); Plural: Politikerine.
618,das Parlament,parliament,Das ist das Parlament.,Nomen (n); Plural: Parlamente.
619,das Gesetz,law,Das ist das Gesetz.,Nomen (n); Plural: Gesetze.
620,die Verwaltung,administration,Das ist die Verwaltung.,Nomen (f); Plural: Verwaltungen.
621,das Gebäude,building,Das ist das Gebäude.,Nomen (n); Plural: Gebäuden.
622,das Wunder,miracle,Das ist das Wunder.,Nomen (n); Plural: Wunder.
623,der Monat,month,Das ist der Monat.,Nomen (m); Plural: Monate.
624,die Geburt,birth,Das ist die Geburt.,Nomen (f); Plural: Geburte.
625,die Laune,mood,Das ist die Laune.,Nomen (f); Plural: Launen.
626,die Liebe,love,Das ist die Liebe.,Nomen (f); Plural: Lieben.
627,die Geburtstagsparty,birthday party,Das ist die Geburtstagsparty.,Nomen (f); Plural: Geburtstagspartye.
628,der Schultag,school day,Das ist der Schultag.,Nomen (m); Plural: Schultage.
629,die Freude,joy,Das ist die Freude.,Nomen (f); Plural: Freuden.
630,das Glück,luck,Das ist das Glück.,Nomen (n); Plural: Glücke.
631,der Club,club,Das ist der Club.,Nomen (m); Plural: Clube.
632,das Brautpaar,wedding couple,Das ist das Brautpaar.,Nomen (n); Plural: Brautpaare.
633,der Ring,ring,Das ist der Ring.,Nomen (m); Plural: Ringe.
634,das Bedauern,regret,Das ist das Bedauern.,Nomen (n); Plural: Bedauerne.
635,der Sieg,victory,Das ist der Sieg.,Nomen (m); Plural: Siege.
636,die Medaille,medal,Das ist die Medaille.,Nomen (f); Plural: Medaillen.
637,das Feuerwerk,fireworks,Das ist das Feuerwerk.,Nomen (n); Plural: Feuerwerke.
638,die Glückwunschkarte,congratulation card,Das ist die Glückwunschkarte.,Nomen (f); Plural: Glückwunschkarten.
639,die Karte,card / ticket,Das ist die Karte.,Nomen (f); Plural: Karten.
640,die Absage,cancellation / rejection,Das ist die Absage.,Nomen (f); Plural: Absagen.
641,das Gefühl,feeling,Das ist das Gefühl.,Nomen (n); Plural: Gefühle.
642,das Frühjahr,spring (season),Das ist das Frühjahr.,Nomen (n); Plural: Frühjahre.
643,das Gegenteil,opposite,Das ist das Gegenteil.,Nomen (n); Plural: Gegenteile.
644,das Wohnheim,dormitory,Das ist das Wohnheim.,Nomen (n); Plural: Wohnheime.
645,der Verkehr,traffic,Das ist der Verkehr.,Nomen (m); Plural: Verkehre.
646,die Party,party,Das ist die Party.,Nomen (f); Plural: Partye.
647,die Währung,currency,Das ist die Währung.,Nomen (f); Plural: Währungen.
648,die Studierende,student,Das ist die Studierende.,Nomen (f); Plural: Studierenden.
649,das Start-Up,start-up,Das ist das Start-Up.,Nomen (n); Plural: Start-Upe.
650,die Umfrage,survey,Das ist die Umfrage.,Nomen (f); Plural: Umfragen.
651,der Actionfilm,action film,Das ist der Actionfilm.,Nomen (m); Plural: Actionfilme.
